行为动作4
抵抗力 resistance
责任 responsibility
骑 ride
角色 role
例行公事 routine
跑 run
冲 rush
销售 sale
保存 save
节省 saving
搜索 search
抓住 seize
选择 selection
卖 sell
服务 serve
服务 service
缝制 sew
性别 sex
刮胡子 shave
购物 shopping
射击 shot
推 shove
显示 show
关闭 shut
单身 single
坐 sit
轻微 slight
滑倒 slip
吸烟 smoking
光滑 smooth
快照 snap
分裂 split
运动 sport
挤压 squeeze
凝视 stare
留下来 stay
步骤 step
存储 storage
罢工 strike
中风 stroke
奋斗 struggle
学习 study
吸 suck
支持 support
调查 survey
交换 swap
游泳 swim
游泳 swimming
任务 task
教学 teaching
技术 technology
网球 tennis
扔 throw
游览 tour
贸易 trade
培训 training
交易 transaction
转移 transfer
过渡 transition
旅行 travel
