思维认知3
正常 normal
概念 notion
滋扰 nuisance
目标 objective
意见 opinion
特别的 particular
图案 pattern
知觉 perception
观点 perspective
哲学 philosophy
物理学 physics
挑选 pick
计划 plan
情节 plot
点 point
政策 policy
民意调查 poll
可能性 possibility
可能 possible
假定 presume
原则 principle
节目 program
证明 proof
心理学 psychology
目的 purpose
反应 react
阅读 reading
现实 reality
意识到 realize
原因 reason
估计 reckon
认出 recognize
反思 reflection
尊重 regard
拒绝 reject
关联 relate
相关的 related
宗教 religion
依靠 rely
记住 remember
提醒 remind
代表性 representation
要求 requirement
尊重 respect
回应 respond
限制 restriction
评论 review
擦 rub
规则 rule
样品 sample
时间表 schedule
方案 scheme
科学 science
分数 score
选择 select
自我 self
感觉 sense
视线 sight
技能 skill
气味 smell
