日常物品3
吉他 guitar
枪 gun
大厅 hall
手提包 handbag
手柄 handle
帽子 hat
总部 headquarters
加热器 heater
高速公路 highway
持有人 holder
钩子 hook
医院 hospital
酒店 hotel
房子 house
住房 housing
实施 implement
进口 import
创新 innovation
仪器 instrument
互联网 internet
夹克 jacket
水壶 kettle
钥匙 key
键盘 keyboard
套件 kit
厨房 kitchen
刀 knife
实验室 lab
实验室 laboratory
梯子 ladder
灯 lamp
车道 lane
发射 launch
层 layer
领先 leading
图书馆 library
有限 limited
负载 load
本地的 local
锁 lock
卡车 lorry
休息室 lounge
较低 lower
机器 machine
机械 machinery
商场 mall
地图 map
比赛 match
我的 mine
镜子 mirror
手机 mobile phone
电机 motor
高速公路 motorway
博物馆 museum
网 net
办公室 office
原创 original
输出 output
烤箱 oven
总体而言 overall
