语言交流3
借口 excuse
解释一下 explain
解释 explanation
暴露 expose
快递 express
图 figure
文件 file
电影 film
原谅 forgive
形式 form
公式 formula
有趣的 funny
早上好 good morning
晚安 good night
再见 goodbye
图 graph
保证 guarantee
猜测 guess
指导 guidance
你好 hello
嗨 hi
忽略 ignore
说明 illustrate
暗示 imply
表明 indicate
指示 indication
告知 inform
信息 information
初始的 initial
输入 input
坚持 insist
指令 instruction
采访 interview
介绍 introduce
调查 investigate
邀请 invite
项目 item
笑话 joke
证明合理 justify
热衷 keen
标签 label
语言 language
笑 laugh
躺着 lay
讲座 lecture
立法 legislation
信 letter
谎言 lie
列表 list
文学 literature
杂志 magazine
邮件 mail
意义 meaning
媒体 media
中等 medium
提及 mention
菜单 menu
留言 message
道德的 moral
运动 motion
