日常物品4
油漆 paint
绘画 painting
宫殿 palace
苍白 pale
平底锅 pan
面板 panel
裤子 pants
包裹 parcel
笔 pen
铅笔 pencil
电话 phone
照片 photo
影印本 photocopy
照片 photograph
钢琴 piano
图片 picture
一块 piece
药丸 pill
针 pin
管子 pipe
飞机 plane
植物 plant
盘子 plate
平台 platform
插头 plug
口袋 pocket
极 pole
泳池 pool
锅 pot
监狱 prison
产品 product
酒吧 pub
钱包 purse
铁路 rail
铁路 railway
录音 recording
冰箱 refrigerator
释放 release
远程 remote
餐厅 restaurant
路 road
屋顶 roof
房间 room
绳子 rope
圆形 round
皇家的 royal
麻袋 sack
安全 safe
航行 sail
卫星 satellite
屏幕 screen
密封件 seal
解决 settle
棚子 shed
架子 shelf
外壳 shell
庇护所 shelter
船 ship
衬衫 shirt
鞋 shoe
