思维认知2
排除 exclude
期待 expect
期望 expectation
经验 experience
探索 explore
外部的 external
事实 fact
信仰 faith
花哨的 fancy
特征 feature
感觉 feel
找到 find
焦点 focus
忘记 forget
目标 goal
语法 grammar
习惯 habit
挂 hang
心 heart
想法 idea
理想的 ideal
识别 identify
图像 image
想象力 imagination
暗示 implication
不可能的 impossible
印象 impression
询问 inquiry
智力 intelligence
打算 intend
意图 intention
兴趣 interest
解释 interpret
解释 interpretation
调查 investigation
问题 issue
它 it
它的 its
判断力 judgment
善良 kind
知道 know
已知的 known
学习 learn
至少 least
喜欢 like
限制 limitation
生活 living
魔法 magic
使 make
标记 mark
数学 math
数学 maths
事 matter
意思是 mean
医学 medicine
记忆 memory
方法 method
头脑 mind
型号 model
谜团 mystery
