思维认知1
绝对的 absolute
接受 accept
外遇 affair
目标 aim
另类 alternative
惊人的 amazing
分析 analyse
预见 anticipate
适当的 appropriate
安排 arrangement
方面 aspect
评估 assess
评估 assessment
假设 assume
关注 attention
态度 attitude
平均 average
意识 awareness
信仰 belief
相信 believe
奖金 bonus
计算 calculate
特点 characteristic
化学 chemistry
选择 choice
选择 choose
复杂的 complex
组件 component
概念 concept
关心 concern
得出结论 conclude
结论 conclusion
信心 confidence
确认 confirm
困惑 confused
令人困惑的 confusing
意识 consciousness
考虑 consider
考虑 consideration
常数 constant
构建 construct
信念 conviction
决定 decide
民主 democracy
导出 derive
细节 detail
纪律 discipline
区别 distinction
区分 distinguish
分布 distribution
怀疑 doubt
梦想 dream
经济学 economics
元素 element
同等 equivalent
估计 estimate
证据 evidence
检查 examine
例子 example
异常 exception
