物质材料1
光盘 CD
我 I
酸 acid
活跃的 active
空气 air
作为 as
在 at
是 be
建设者 builder
化学 chemical
煤 coal
颜色 colour
集中 concentrate
棉 cotton
污垢 dirt
灰尘 dust
脂肪 fat
燃料 fuel
垃圾 garbage
汽油 gasoline
玻璃 glass
他 he
隐藏 hide
冰 ice
铁 iron
皮革 leather
液体 liquid
日志 log
材料 material
金属 metal
矿物 mineral
混合物 mixture
泥 mud
油 oil
有机的 organic
垫 pad
纸 paper
汽油 petrol
塑料 plastic
激进的 radical
拒绝 refuse
橡胶 rubber
垃圾 rubbish
盐 salt
沙子 sand
摇动 shake
银 silver
固体 solid
解决方案 solution
泄漏 spill
喷雾 spray
蒸汽 steam
钢 steel
稻草 straw
东西 stuff
因此 thus
直到 till
锡 tin
垃圾 trash
废物 waste
