状态情况2
修复 fix
味道 flavour
自由 freedom
友谊 friendship
大惊小怪 fuss
气体 gas
伤害 harm
健康 health
犹豫 hesitate
荣誉 honour
快点 hurry
受伤 hurt
生病了 ill
疾病 illness
包括 include
包括 including
独立性 independence
感染 infection
受伤 injury
涉及 involve
涉及 involved
缺乏 lack
许可证 licence
生活 life
照明 lighting
直播 live
低 low
运气 luck
维持 maintain
婚姻 marriage
混乱 mess
痛苦 misery
需要 need
无处可去 nowhere
操作 operation
机会 opportunity
疼痛 pain
和平 peace
污染 pollution
拥有 possess
潜力 potential
贫困 poverty
存在 presence
保存 preserve
按 press
优先级 priority
问题 problem
前景 prospect
证明 prove
有资格 qualify
安静 quiet
退出 quit
原始的 raw
准备好了 ready
认可 recognition
代表 represent
声誉 reputation
要求 require
抵抗 resist
保留 retain
