时间1
下午 afternoon
秋天 autumn
出生 birth
生日 birthday
日历 calendar
停止 cease
世纪 century
童年 childhood
关闭 close
循环 cycle
日期 date
日 day
十年 decade
深 deep
延迟 delay
时代 era
甚至 even
晚上 evening
延伸 extension
秋天 fall
节日 festival
两周 fortnight
满 full
未来 future
去 go
历史 history
假期 holiday
小时 hour
即时 instant
间隔 interval
最后 last
离开 leave
休闲 leisure
午餐时间 lunchtime
进行曲 march
可能 may
同时 meanwhile
午夜 midnight
分钟 minute
时刻 moment
月 month
早上 morning
晚上 night
无 none
现在 now
如今 nowadays
老 old
结束 over
加班 overtime
步伐 pace
过去 past
暂停 pause
时期 period
阶段 phase
现在 present
率 rate
最近的 recent
季节 season
第二 second
速度 speed
