社会组织2
失败 fail
家庭 family
远 far
几个 few
坚定 firm
飞行 flight
民间 folk
正在关注 following
森林 forest
形成 formation
免费 free
经常 frequent
友好的 friendly
进一步 further
画廊 gallery
帮派 gang
一代 generation
治理 govern
政府 government
等级 grade
家庭 household
强加 impose
工业 industry
研究所 institute
机构 institution
国际 international
陪审团 jury
劳工 labour
法律 law
联赛 league
让 let
线 line
宽松的 loose
迷失了 lost
肿块 lump
管理 manage
制造商 manufacturer
结婚 marry
会议 meeting
会员资格 membership
军事 military
部委 ministry
少数民族 minority
使命 mission
民族 nation
网络 network
占据 occupy
关闭 off
操作 operate
组织 organization
组织 organize
有组织的 organized
包 package
数据包 packet
一对 pair
议会 parliament
参与 participate
伙伴关系 partnership
聚会 party
人 people
